GEOID,total_pop,white_pop,perc_no_cars,pct_nonwhite,,,,TRACTCODE,,TRACTCODE,perc_no_car,,TRACTCODE,pct_nonwhite,,TRACTCODE,total_pop
24033805909,5004,887,21.5,82,,,,24033805909,,033805909,21.5,,033805909,82,,033805909,5004
24033806000,5174,746,12.3,86,,,,24033806000,,033806000,12.3,,033806000,86,,033806000,5174
24033806100,4118,1627,6.5,60,,,,24033806100,,033806100,6.5,,033806100,60,,033806100,4118
24033806200,3837,1912,13.5,50,,,,24033806200,,033806200,13.5,,033806200,50,,033806200,3837
24033806300,2788,738,4.5,74,,,,24033806300,,033806300,4.5,,033806300,74,,033806300,2788
24033806400,3775,2534,7.1,33,,,,24033806400,,033806400,7.1,,033806400,33,,033806400,3775
24033806501,5415,1293,14.2,76,,,,24033806501,,033806501,14.2,,033806501,76,,033806501,5415
24033806601,4359,1242,21.8,72,,,,24033806601,,033806601,21.8,,033806601,72,,033806601,4359
24033806602,5435,916,11.8,83,,,,24033806602,,033806602,11.8,,033806602,83,,033806602,5435
24033806706,3167,548,4.4,83,,,,24033806706,,033806706,4.4,,033806706,83,,033806706,3167
24033806708,4439,2538,12,43,,,,24033806708,,033806708,12,,033806708,43,,033806708,4439
24033806710,4992,817,4.9,84,,,,24033806710,,033806710,4.9,,033806710,84,,033806710,4992
24033806711,5498,422,12,92,,,,24033806711,,033806711,12,,033806711,92,,033806711,5498
24033806712,3109,419,8.1,87,,,,24033806712,,033806712,8.1,,033806712,87,,033806712,3109
24033806713,3896,222,12.4,94,,,,24033806713,,033806713,12.4,,033806713,94,,033806713,3896
24033806714,4788,1154,16.2,76,,,,24033806714,,033806714,16.2,,033806714,76,,033806714,4788
24033806800,4003,2220,1.5,45,,,,24033806800,,033806800,1.5,,033806800,45,,033806800,4003
24033806900,5078,2775,2.7,45,,,,24033806900,,033806900,2.7,,033806900,45,,033806900,5078
24033807000,6762,3207,29.1,53,,,,24033807000,,033807000,29.1,,033807000,53,,033807000,6762
24033807102,2631,1505,5.8,43,,,,24033807102,,033807102,5.8,,033807102,43,,033807102,2631
24033807200,14369,8969,13.9,38,,,,24033807200,,033807200,13.9,,033807200,38,,033807200,14369
24033807301,3492,797,9.5,77,,,,24033807301,,033807301,9.5,,033807301,77,,033807301,3492
24033807304,2273,470,3,79,,,,24033807304,,033807304,3,,033807304,79,,033807304,2273
24033807305,3490,349,4.9,90,,,,24033807305,,033807305,4.9,,033807305,90,,033807305,3490
24033807404,5476,1884,1.2,66,,,,24033807404,,033807404,1.2,,033807404,66,,033807404,5476
24033807405,5374,2123,3.4,60,,,,24033807405,,033807405,3.4,,033807405,60,,033807405,5374
24033807407,5526,1236,8.1,78,,,,24033807407,,033807407,8.1,,033807407,78,,033807407,5526
24033807408,5660,2914,0.3,49,,,,24033807408,,033807408,0.3,,033807408,49,,033807408,5660
24033807409,4168,956,11.5,77,,,,24033807409,,033807409,11.5,,033807409,77,,033807409,4168
24033807410,4747,1278,26.2,73,,,,24033807410,,033807410,26.2,,033807410,73,,033807410,4747
